time_sec,thruster_0_thrust_N,thruster_1_thrust_N,thruster_2_thrust_N,thruster_3_thrust_N,thruster_4_thrust_N,thruster_5_thrust_N,thruster_6_thrust_N,thruster_7_thrust_N
10.280000,1.305941,1.968947,-1.936449,-1.332653,-0.138820,-0.138820,-0.138820,-0.138820
10.330000,1.287486,1.956082,-1.924299,-1.313508,-0.138360,-0.138360,-0.138360,-0.138360
10.380000,1.267859,1.941705,-1.910621,-1.293204,-0.137875,-0.137875,-0.137875,-0.137875
10.430000,1.247144,1.925915,-1.895511,-1.271828,-0.137367,-0.137367,-0.137367,-0.137367
10.480000,1.225429,1.908812,-1.879072,-1.249468,-0.136835,-0.136835,-0.136835,-0.136835
10.530000,1.202807,1.890505,-1.861410,-1.226217,-0.136281,-0.136281,-0.136281,-0.136281
10.580000,1.179370,1.871104,-1.842636,-1.202167,-0.135705,-0.135705,-0.135705,-0.135705
10.630000,1.155216,1.850722,-1.822863,-1.177415,-0.135110,-0.135110,-0.135110,-0.135110
10.680000,1.130671,1.829678,-1.802405,-1.152293,-0.134502,-0.134502,-0.134502,-0.134502
10.730000,1.105313,1.807628,-1.780929,-1.126367,-0.133870,-0.133870,-0.133870,-0.133870
10.780000,1.079533,1.784947,-1.758805,-1.100035,-0.133221,-0.133221,-0.133221,-0.133221
10.830000,1.053418,1.761744,-1.736140,-1.073383,-0.132558,-0.132558,-0.132558,-0.132558
10.880000,1.027055,1.738126,-1.713043,-1.046497,-0.131882,-0.131882,-0.131882,-0.131882
10.930000,1.000527,1.714197,-1.689618,-1.019462,-0.131193,-0.131193,-0.131193,-0.131193
10.980000,0.973915,1.690059,-1.665966,-0.992356,-0.130493,-0.130493,-0.130493,-0.130493
11.030000,0.947293,1.665807,-1.642184,-0.965256,-0.129783,-0.129783,-0.129783,-0.129783
11.080000,0.920963,1.641739,-1.618565,-0.938464,-0.129070,-0.129070,-0.129070,-0.129070
11.130000,0.894480,1.617478,-1.594741,-0.911529,-0.128342,-0.128342,-0.128342,-0.128342
11.180000,0.868200,1.593370,-1.571054,-0.884810,-0.127608,-0.127608,-0.127608,-0.127608
11.230000,0.842175,1.569486,-1.547573,-0.858360,-0.126868,-0.126868,-0.126868,-0.126868
11.280000,0.816456,1.545891,-1.524366,-0.832228,-0.126124,-0.126124,-0.126124,-0.126124
11.330000,0.791086,1.522646,-1.501494,-0.806459,-0.125375,-0.125375,-0.125375,-0.125375
11.380000,0.766106,1.499805,-1.479010,-0.781093,-0.124624,-0.124624,-0.124624,-0.124624
11.430000,0.741550,1.477417,-1.456963,-0.756163,-0.123870,-0.123870,-0.123870,-0.123870
11.480000,0.717448,1.455525,-1.435397,-0.731699,-0.123114,-0.123114,-0.123114,-0.123114
11.530000,0.693826,1.434166,-1.414349,-0.707727,-0.122357,-0.122357,-0.122357,-0.122357
11.580000,0.670705,1.413370,-1.393848,-0.684267,-0.121599,-0.121599,-0.121599,-0.121599
11.630000,0.648101,1.393162,-1.373922,-0.661336,-0.120841,-0.120841,-0.120841,-0.120841
11.680000,0.626028,1.373563,-1.354591,-0.638947,-0.120083,-0.120083,-0.120083,-0.120083
11.730000,0.604494,1.354590,-1.335871,-0.617108,-0.119325,-0.119325,-0.119325,-0.119325
11.780000,0.583506,1.336252,-1.317772,-0.595824,-0.118568,-0.118568,-0.118568,-0.118568
11.830000,0.563065,1.318556,-1.300303,-0.575098,-0.117812,-0.117812,-0.117818,-0.117818
11.880000,0.543170,1.301504,-1.283464,-0.554928,-0.117057,-0.117057,-0.117061,-0.117061
11.930000,0.523819,1.285094,-1.267254,-0.535312,-0.116302,-0.116302,-0.116306,-0.116306
11.980000,0.505007,1.269322,-1.251669,-0.516242,-0.115550,-0.115550,-0.115553,-0.115553
12.030000,0.486725,1.254178,-1.236700,-0.497712,-0.114804,-0.114804,-0.114807,-0.114807
12.080000,0.468964,1.239651,-1.222337,-0.479711,-0.114053,-0.114053,-0.114055,-0.114055
12.130000,0.451713,1.225725,-1.208564,-0.462228,-0.113303,-0.113303,-0.113305,-0.113305
12.180000,0.434959,1.212386,-1.195460,-0.445384,-0.112555,-0.112561,-0.112562,-0.112562
12.230000,0.418689,1.199613,-1.182796,-0.428865,-0.111809,-0.111813,-0.111814,-0.111814
12.280000,0.403014,1.187473,-1.170759,-0.412957,-0.111070,-0.111074,-0.111074,-0.111074
12.330000,0.387639,1.175749,-1.159132,-0.397359,-0.110325,-0.110328,-0.110328,-0.110328
12.380000,0.372709,1.164528,-1.148002,-0.382216,-0.109582,-0.109584,-0.109584,-0.109584
12.430000,0.358207,1.153784,-1.137341,-0.367510,-0.108840,-0.108842,-0.108842,-0.108842
12.480000,0.344115,1.143488,-1.127121,-0.353222,-0.108100,-0.108101,-0.108101,-0.108101
12.530000,0.330416,1.133613,-1.117315,-0.339334,-0.107361,-0.107362,-0.107362,-0.107362
12.580000,0.317094,1.124131,-1.107895,-0.325830,-0.106623,-0.106624,-0.106624,-0.106624
12.630000,0.304132,1.115012,-1.098831,-0.312690,-0.105886,-0.105887,-0.105887,-0.105887
12.680000,0.291514,1.106228,-1.090093,-0.299899,-0.105151,-0.105151,-0.105151,-0.105151
12.730000,0.279325,1.097809,-1.081714,-0.287542,-0.104422,-0.104423,-0.104423,-0.104423
12.780000,0.267327,1.089588,-1.073526,-0.275379,-0.103687,-0.103688,-0.103688,-0.103688
12.830000,0.255635,1.081615,-1.065580,-0.263525,-0.102953,-0.102954,-0.102954,-0.102954
12.880000,0.244234,1.073860,-1.057845,-0.251965,-0.102221,-0.102221,-0.102221,-0.102221
12.930000,0.233110,1.066292,-1.050290,-0.240684,-0.101489,-0.101489,-0.101489,-0.101489
12.980000,0.222252,1.058883,-1.042888,-0.229671,-0.100757,-0.100757,-0.100757,-0.100757
13.030000,0.211648,1.051604,-1.035609,-0.218914,-0.100027,-0.100027,-0.100027,-0.100027
13.080000,0.201288,1.044426,-1.028426,-0.208403,-0.099297,-0.099297,-0.099297,-0.099297
13.130000,0.191163,1.037322,-1.021311,-0.198127,-0.098567,-0.098567,-0.098567,-0.098567
13.180000,0.181266,1.030267,-1.014238,-0.188079,-0.097838,-0.097838,-0.097838,-0.097838
13.230000,0.171588,1.023233,-1.007182,-0.178252,-0.097109,-0.097109,-0.097109,-0.097109
13.280000,0.162126,1.016198,-1.000117,-0.168639,-0.096380,-0.096380,-0.096380,-0.096380
13.330000,0.152874,1.009136,-0.993021,-0.159236,-0.095651,-0.095651,-0.095651,-0.095651
13.380000,0.143828,1.002026,-0.985870,-0.150040,-0.094921,-0.094921,-0.094921,-0.094921
13.430000,0.134988,0.994845,-0.978642,-0.141048,-0.094191,-0.094191,-0.094191,-0.094191
13.480000,0.126352,0.987573,-0.971318,-0.132258,-0.093461,-0.093461,-0.093461,-0.093461
13.530000,0.117920,0.980192,-0.963879,-0.123670,-0.092729,-0.092729,-0.092729,-0.092729
13.580000,0.109694,0.972683,-0.956305,-0.115286,-0.091996,-0.091996,-0.091996,-0.091996
13.630000,0.101676,0.965029,-0.948581,-0.107109,-0.091262,-0.091262,-0.091262,-0.091262
